task_id,global_sample_id,split,data_origin,domain,dashboard_id,chart_count,chart_types,instruction_type,num_operations,operations,propagation_scope,instruction,code_exists,pred_image_exists,pred_image_status,render_status,render_returncode,code_executability,code_quality,explicit_relation_label_available,low_level_edit_accuracy,relation_conditioned_fidelity,relation_scope_f1,relation_scope_accuracy,multi_chart_relation_accuracy,relation_edge_consistency,relation_edge_action_accuracy,relation_edge_endpoint_accuracy,visual_structural_similarity,preservation_accuracy,high_level_score,overall_score,relation_metric_applicable,operation_scores_json
synthetic_sample_920915,synthetic/sample_920915,synthetic,synthetic_relation_augmented_qc,hospital_operations,dashboard_aug_0433,5,lollipop;waterfall;candlestick;stacked_bar;dot_plot,complex_relation,5,modify_style;change_axis_label;change_axis_label;change_axis_label;change_axis_label,relation_augmented,"Make the dashboard easier to compare: use dark blue subplot titles with light dashed gridlines, and rename the y-axis to ""Comparable value"" on the related numeric subplots.",1,0,missing,failed,1,0.0,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,[]
real_sample_000445,real/sample_000445,real,real,owid,dashboard_0030,2,funnel;gantt,multi_step,3,modify_color;rename_label;add_event_marker,relation_or_scope_aware,"Within the related country or region panels, recolor Guinea to red. In the related country or region panels, replace the label Guinea with Guinea (updated). Mark 1925 with a red vertical line labeled ""Event 1925"" in all time-series panels. Make the scoped edits consistently across the related charts without disturbing the rest of the dashboard.",1,1,4469x1770,ok,0,1.0,1.0,0,0.36552115730315227,,,,,,,,0.06313665214559189,0.6485738970083135,0.2023580601955969,0.27578145389399683,0,"[{""operation_index"": 1, ""operation"": ""modify_color"", ""score"": 0.2602276800674904, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.03568571159638554, ""counterfactual_noop_mse"": 17571.943359375, ""prediction_mse"": 12999.2373046875}, {""operation_index"": 2, ""operation"": ""rename_label"", ""score"": 0.8363357918419664, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0014001317771084338, ""counterfactual_noop_mse"": 13870.1708984375, ""prediction_mse"": 2270.050537109375}, {""operation_index"": 3, ""operation"": ""add_event_marker"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0016707454819277108, ""counterfactual_noop_mse"": 5885.49755859375, ""prediction_mse"": 14800.548828125}]"
real_sample_001023,real/sample_001023,real,real,air_quality_environment,dashboard_0068,3,scatter;strip_plot;dual_axis_line_bar,multi_step,3,add_reference_line;set_y_scale;preserve_unrelated_charts,relation_or_scope_aware,"Add a purple reference line labeled ""Reference mean"" at the mean value in the third subplot. For charts with numeric y-values, display the y-axis on a logarithmic scale. Leave charts outside that scope unchanged.",1,1,2381x1484,ok,0,1.0,1.0,0,0.12920311361437395,,,,,,,,0.1321386486949,0.7605247646660686,0.3170090135973757,0.23249635860502493,0,"[{""operation_index"": 1, ""operation"": ""add_reference_line"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0023636918168168167, ""counterfactual_noop_mse"": 3992.0966796875, ""prediction_mse"": 4635.10400390625}, {""operation_index"": 2, ""operation"": ""set_y_scale"", ""score"": 0.2584062272287479, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.09401393581081081, ""counterfactual_noop_mse"": 2829.1201171875, ""prediction_mse"": 2098.057861328125}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.7605247646660686, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]"
synthetic_sample_920967,synthetic/sample_920967,synthetic,synthetic_relation_augmented_qc,agriculture_food,dashboard_aug_0442,2,line;heatmap,complex_relation,3,add_dashboard_title;modify_color;preserve_data_values,relation_augmented,"Add the title ""Agriculture Food Edited Dashboard"" and use red to emphasize North consistently across every subplot where that label appears.",1,1,4042x1777,ok,0,1.0,1.0,1,0.06801969549535049,0.049781722957642945,0.6666666666666666,0.0,0.049781722957642945,0.12445430739410736,0.0,0.19181861048177495,0.03618462160346195,0.7099999936253001,0.17469416717563127,0.137358102087533,1,"[{""operation_index"": 1, ""operation"": ""add_dashboard_title"", ""score"": 0.13603939099070098, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.20774244225543478, ""counterfactual_noop_mse"": 9209.9501953125, ""prediction_mse"": 7957.0341796875}, {""operation_index"": 2, ""operation"": ""modify_color"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.003916864809782609, ""counterfactual_noop_mse"": 14195.6279296875, ""prediction_mse"": 18700.740234375}, {""operation_index"": 3, ""operation"": ""preserve_data_values"", ""score"": 0.7099999936253001, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]"
real_sample_000823,real/sample_000823,real,real,world_bank,dashboard_0055,3,violin;radar;line,multi_step,3,filter_time_range;add_event_marker;preserve_unrelated_charts,relation_or_scope_aware,"For all time-series panels, restrict the x-axis range to 1980-2011. Mark 1994 with a red vertical line labeled ""Event 1994"" in all time-series panels. Leave charts outside that scope unchanged.",1,1,4755x2967,ok,0,1.0,1.0,0,0.1563444933905396,,,,,,,,0.03729526285966629,0.8255785554502991,0.17547127752661543,0.1668642246653813,0,"[{""operation_index"": 1, ""operation"": ""filter_time_range"", ""score"": 0.3126889867810792, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.020695789319248828, ""counterfactual_noop_mse"": 4496.248046875, ""prediction_mse"": 3090.32080078125}, {""operation_index"": 2, ""operation"": ""add_event_marker"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0011370305164319248, ""counterfactual_noop_mse"": 2154.156005859375, ""prediction_mse"": 2585.620849609375}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.8255785554502991, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]"
synthetic_sample_920308,synthetic/sample_920308,synthetic,synthetic_relation_augmented_qc,game_analytics,dashboard_aug_0332,2,waterfall;line,complex_relation,3,add_reference_line;modify_color;preserve_data_values,relation_augmented,"For cross-panel comparison, add a purple Reference mean line to all standard numeric-y subplots and color West red wherever it appears.",1,1,4172x1771,ok,0,1.0,1.0,1,0.0,0.15697647725824562,1.0,0.26162746209707605,0.15697647725824562,0.0,0.0,0.021517087007424992,0.0,0.7828531184670847,0.24788054053071107,0.1611223513449622,1,"[{""operation_index"": 1, ""operation"": ""add_reference_line"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.009521484375, ""counterfactual_noop_mse"": 8151.779296875, ""prediction_mse"": 8928.9541015625}, {""operation_index"": 2, ""operation"": ""modify_color"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.007472826086956522, ""counterfactual_noop_mse"": 8972.197265625, ""prediction_mse"": 14570.138671875}, {""operation_index"": 3, ""operation"": ""preserve_data_values"", ""score"": 0.7828531184670847, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]"
real_sample_000217,real/sample_000217,real,real,geophysical_events,dashboard_0015,2,stacked_bar;bubble,multi_step,2,delete_category_or_series;add_dashboard_title,relation_or_scope_aware,"Remove the visible category or series ""volcanic eruption"" from every chart where it is plotted. Add ""Geophysical Events Edited View"" as the main title for the whole dashboard. Keep unrelated chart content unchanged.",1,1,2388x887,ok,0,1.0,1.0,0,0.2377512150370587,,,,,,,,0.12138690617017966,0.6946504514039411,0.2903815923326462,0.26669792254963187,0,"[{""operation_index"": 1, ""operation"": ""delete_category_or_series"", ""score"": 0.2501224805497142, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 0.5, ""changed_pixel_rate"": 0.0842785203313253, ""counterfactual_noop_mse"": 9908.7001953125, ""prediction_mse"": 7430.3115234375}, {""operation_index"": 2, ""operation"": ""add_dashboard_title"", ""score"": 0.22537994952440324, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.11902296686746988, ""counterfactual_noop_mse"": 10877.78125, ""prediction_mse"": 8426.1474609375}]"
synthetic_sample_920070,synthetic/sample_920070,synthetic,synthetic_relation_augmented_qc,climate_resilience,dashboard_aug_0292,3,line;grouped_bar;stacked_area,complex_relation,3,modify_style;rename_label;preserve_unrelated_charts,relation_augmented,Use a consistent cleaned-up style across the dashboard and rename Central to Central (updated) in all related subplots where it appears.,1,1,4472x2971,ok,0,1.0,1.0,1,0.17637231850928062,0.3932225562671131,1.0,0.4314337851196887,0.3932225562671131,0.33590571298824967,0.0,0.34829052955362644,0.14564709022356798,0.7814090996485624,0.4588450965697586,0.3599796242485913,1,"[{""operation_index"": 1, ""operation"": ""modify_style"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.00418678014905149, ""counterfactual_noop_mse"": 4620.173828125, ""prediction_mse"": 11144.7431640625}, {""operation_index"": 2, ""operation"": ""rename_label"", ""score"": 0.35274463701856124, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.13472857384823847, ""counterfactual_noop_mse"": 9729.4677734375, ""prediction_mse"": 6297.4501953125}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.7814090996485624, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]"
synthetic_sample_920381,synthetic/sample_920381,synthetic,synthetic_relation_augmented_qc,air_quality,dashboard_aug_0344,3,funnel;dot_plot;pie,multi_chart_relation,3,modify_color;preserve_data_values;preserve_unrelated_charts,relation_augmented,"Highlight North in red in the 3 related subplots that show North, but do not change any plotted values or labels in the other subplots.",1,1,1784x1185,ok,0,1.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668522458746041,0.0,0.0,1,"[{""operation_index"": 1, ""operation"": ""modify_color"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.015910823170731708, ""counterfactual_noop_mse"": 14020.2080078125, ""prediction_mse"": 18272.779296875}, {""operation_index"": 2, ""operation"": ""preserve_data_values"", ""score"": 0.668522458746041, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.668522458746041, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]"
synthetic_sample_920202,synthetic/sample_920202,synthetic,synthetic_relation_augmented_qc,consumer_prices,dashboard_aug_0314,4,candlestick;grouped_bar;area;dual_axis_line_bar,multi_chart_relation,2,delete_category_or_series;preserve_unrelated_charts,relation_augmented,"Remove the shared category or series West from every subplot where it is plotted, while preserving the remaining categories and chart layouts.",1,1,1782x1184,ok,0,1.0,1.0,1,0.6258708132649002,0.6075328554453293,0.6666666666666666,0.6130128646996891,0.6075328554453293,0.5993128415637897,0.6,0.6024741801498015,0.27232152761237566,0.6419048595466383,0.5314051204957242,0.5644681129649358,1,"[{""operation_index"": 1, ""operation"": ""delete_category_or_series"", ""score"": 0.6258708132649002, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 0.0, ""changed_pixel_rate"": 0.11802379742547425, ""counterfactual_noop_mse"": 14170.0615234375, ""prediction_mse"": 5301.43359375}, {""operation_index"": 2, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.6419048595466383, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]"
