task_id,global_sample_id,split,data_origin,domain,dashboard_id,chart_count,chart_types,instruction_type,num_operations,operations,propagation_scope,instruction,code_exists,pred_image_exists,pred_image_status,render_status,render_returncode,code_executability,code_quality,explicit_relation_label_available,overall_score,low_level_edit_accuracy,high_level_score,relation_conditioned_fidelity,multi_chart_relation_accuracy,relation_scope_f1,relation_scope_accuracy,relation_expected_edit_fidelity,relation_nonaffected_preservation,relation_label_visual_coverage,relation_labeled_endpoint_count,visual_structural_similarity,preservation_accuracy,full_ssim,noop_full_ssim,full_ssim_improvement,full_mse,full_mae,edit_visual_score,noop_edit_mse,pred_edit_mse,preserve_mae,preserve_changed_pixel_rate,affected_chart_f1,affected_chart_precision,affected_chart_recall,reference_affected_cells,predicted_affected_cells,matched_affected_cells,affected_region_similarity,reference_affected_chart_ids_json,predicted_affected_chart_ids_json,relation_edge_consistency,relation_edge_action_accuracy,relation_edge_endpoint_accuracy,relation_edge_check_count,relation_node_fidelities_json,relation_metric_applicable,layout_id,canvas_aspect_score,metric_width,metric_height,target_changed_pixel_rate,operation_count,counterfactual_operation_count,scorable_edit_operation_count,counterfactual_coverage,operation_scores_json,charteditor_full_rarm,charteditor_edit_rarm,charteditor_full_layout,charteditor_full_text,charteditor_edit_layout,charteditor_edit_text
synthetic_sample_920915,synthetic/sample_920915,synthetic,synthetic_relation_augmented_qc,hospital_operations,dashboard_aug_0433,5,lollipop;waterfall;candlestick;stacked_bar;dot_plot,complex_relation,5,modify_style;change_axis_label;change_axis_label;change_axis_label;change_axis_label,relation_augmented,"Make the dashboard easier to compare: use dark blue subplot titles with light dashed gridlines, and rename the y-axis to ""Comparable value"" on the related numeric subplots.",1,1,2049x999,ok,0,1.0,1.0,1,0.04870704570495858,0.0016451710892764371,0.07404805511340282,0.01445808377258001,0.01445808377258001,1.0,0.024096806287633353,0.0009139839384869094,0.6353022726252675,1.0,9,0.0,0.7584842572950583,0.4668931577955405,0.988350970974434,0.0,1904.2552490234375,20.651456832885742,0.0,2863.367431640625,5745.44677734375,20.246850967407227,0.20944089827888612,1.0,1.0,1.0,5,5,5,0.0,"[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5""]","[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5""]",0.0,0.0,0.0,10,"{""chart_1"": 0.0, ""chart_2"": 0.0, ""chart_3"": 0.0, ""chart_4"": 0.0, ""chart_5"": 0.0}",1,regular_grid,0.939443855437631,512,246,0.008662029979674796,5,5,5,1.0,"[{""operation_index"": 1, ""operation"": ""modify_style"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.004731961382113821, ""counterfactual_noop_mse"": 409.1448669433594, ""prediction_mse"": 5355.28759765625}, {""operation_index"": 2, ""operation"": ""change_axis_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0009448043699186992, ""counterfactual_noop_mse"": 6160.0615234375, ""prediction_mse"": 6612.361328125}, {""operation_index"": 3, ""operation"": ""change_axis_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0010003810975609756, ""counterfactual_noop_mse"": 5688.57421875, ""prediction_mse"": 6322.708984375}, {""operation_index"": 4, ""operation"": ""change_axis_label"", ""score"": 0.008225855446382185, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0010162601626016261, ""counterfactual_noop_mse"": 5503.796875, ""prediction_mse"": 5458.5234375}, {""operation_index"": 5, ""operation"": ""change_axis_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0009686229674796748, ""counterfactual_noop_mse"": 5949.09814453125, ""prediction_mse"": 6510.71875}]",,,,,,
real_sample_000445,real/sample_000445,real,real,owid,dashboard_0030,2,funnel;gantt,multi_step,3,modify_color;rename_label;add_event_marker,relation_or_scope_aware,"Within the related country or region panels, recolor Guinea to red. In the related country or region panels, replace the label Guinea with Guinea (updated). Mark 1925 with a red vertical line labeled ""Event 1925"" in all time-series panels. Make the scoped edits consistently across the related charts without disturbing the rest of the dashboard.",1,1,1750x588,ok,0,1.0,1.0,0,0.46498873134554297,0.4446976848395437,0.4815904966686333,,,,,,,,,0.2585742660729942,0.8969547124850714,0.7287823052377465,0.9900793200111193,0.0,937.7597045898438,9.180413246154785,0.49389642404762757,17049.271484375,8628.697265625,7.071016311645508,0.0998569979344146,1.0,1.0,1.0,2,2,2,0.2528662857549349,"[""chart_1"", ""chart_2""]","[""chart_1"", ""chart_2""]",,,,0,"{""chart_1"": 0.5057325715098698, ""chart_2"": 0.0}",0,regular_grid,0.8725657630598656,512,166,0.037356457078313254,3,3,3,1.0,"[{""operation_index"": 1, ""operation"": ""modify_color"", ""score"": 0.5057325715098698, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.03568571159638554, ""counterfactual_noop_mse"": 17571.943359375, ""prediction_mse"": 8685.2392578125}, {""operation_index"": 2, ""operation"": ""rename_label"", ""score"": 0.8283604830087612, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0014001317771084338, ""counterfactual_noop_mse"": 13870.1708984375, ""prediction_mse"": 2380.66943359375}, {""operation_index"": 3, ""operation"": ""add_event_marker"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0016707454819277108, ""counterfactual_noop_mse"": 5885.49755859375, ""prediction_mse"": 7421.0283203125}]",,,,,,
real_sample_001023,real/sample_001023,real,real,air_quality_environment,dashboard_0068,3,scatter;strip_plot;dual_axis_line_bar,multi_step,3,add_reference_line;set_y_scale;preserve_unrelated_charts,relation_or_scope_aware,"Add a purple reference line labeled ""Reference mean"" at the mean value in the third subplot. For charts with numeric y-values, display the y-axis on a logarithmic scale. Leave charts outside that scope unchanged.",1,1,1842x1173,ok,0,1.0,1.0,0,0.023370150054783535,0.051933666788407856,0.0,,,,,,,,,0.0,0.9000757913755892,0.71017897484662,0.8649165988382603,0.0,771.1760864257812,14.10415267944336,0.0,2862.5947265625,3618.46337890625,10.596351623535156,0.07179115769869958,1.0,1.0,1.0,3,3,3,0.07447285030360556,"[""chart_1"", ""chart_2"", ""chart_3""]","[""chart_1"", ""chart_2"", ""chart_3""]",,,,0,"{""chart_1"": 0.0, ""chart_2"": 0.2234185509108167, ""chart_3"": 0.0}",0,regular_grid,0.9205080077903209,512,333,0.09298165352852852,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""add_reference_line"", ""score"": 0.10386733357681571, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0023636918168168167, ""counterfactual_noop_mse"": 3992.0966796875, ""prediction_mse"": 3577.4482421875}, {""operation_index"": 2, ""operation"": ""set_y_scale"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.09401393581081081, ""counterfactual_noop_mse"": 2829.1201171875, ""prediction_mse"": 3595.843505859375}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.9000757913755892, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
synthetic_sample_920967,synthetic/sample_920967,synthetic,synthetic_relation_augmented_qc,agriculture_food,dashboard_aug_0442,2,line;heatmap,complex_relation,3,add_dashboard_title;modify_color;preserve_data_values,relation_augmented,"Add the title ""Agriculture Food Edited Dashboard"" and use red to emphasize North consistently across every subplot where that label appears.",1,1,1379x494,ok,0,1.0,1.0,1,0.36446521511648466,0.26483884100773003,0.41811018579042947,0.3155767750924971,0.3155767750924971,0.6666666666666666,0.4063431562618034,0.3591751504145856,0.4597054123878479,1.0,1,0.09916614272566164,0.8430095847392114,0.46486109020415145,0.6018661635764468,0.0,2794.937744140625,25.772655487060547,0.16856656712920315,9201.4140625,7650.36328125,15.489072799682617,0.12055055216039455,0.6666666666666666,0.5,1.0,1,2,1,0.2163262475424247,"[""chart_1""]","[""chart_1"", ""chart_2""]",0.17942720333853762,0.0,0.2163262475424247,1,"{""chart_1"": 0.3371688065930235, ""chart_2"": 0.09548368849182584}",1,regular_grid,0.980484489644306,512,184,0.20796535326086957,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""add_dashboard_title"", ""score"": 0.17050253160087453, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.20774244225543478, ""counterfactual_noop_mse"": 9209.9501953125, ""prediction_mse"": 7639.63037109375}, {""operation_index"": 2, ""operation"": ""modify_color"", ""score"": 0.3591751504145856, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.003916864809782609, ""counterfactual_noop_mse"": 14195.6279296875, ""prediction_mse"": 9096.9111328125}, {""operation_index"": 3, ""operation"": ""preserve_data_values"", ""score"": 0.8430095847392114, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
real_sample_000823,real/sample_000823,real,real,world_bank,dashboard_0055,3,violin;radar;line,multi_step,3,filter_time_range;add_event_marker;preserve_unrelated_charts,relation_or_scope_aware,"For all time-series panels, restrict the x-axis range to 1980-2011. Mark 1994 with a red vertical line labeled ""Event 1994"" in all time-series panels. Leave charts outside that scope unchanged.",1,1,1633x805,ok,0,1.0,1.0,0,0.1698170895631616,0.09694087930952848,0.2294430797706796,,,,,,,,,0.06228051509420675,0.8452744293303271,0.6423561576272392,0.9564340858212595,0.0,579.056884765625,14.252240180969238,0.20371041052593356,4639.21142578125,3694.15576171875,13.78618335723877,0.12871833740373728,0.5,0.3333333333333333,1.0,1,3,1,0.20371041052593356,"[""chart_3""]","[""chart_1"", ""chart_2"", ""chart_3""]",,,,0,"{""chart_1"": 0.7837699502706528, ""chart_2"": 0.8023866713047028, ""chart_3"": 0.20371041052593356}",0,wide_top,0.5095510741073791,512,213,0.020053917253521125,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""filter_time_range"", ""score"": 0.19388175861905696, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.020695789319248828, ""counterfactual_noop_mse"": 4496.248046875, ""prediction_mse"": 3624.507568359375}, {""operation_index"": 2, ""operation"": ""add_event_marker"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0011370305164319248, ""counterfactual_noop_mse"": 2154.156005859375, ""prediction_mse"": 2365.811767578125}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.8452744293303271, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
synthetic_sample_920308,synthetic/sample_920308,synthetic,synthetic_relation_augmented_qc,game_analytics,dashboard_aug_0332,2,waterfall;line,complex_relation,3,add_reference_line;modify_color;preserve_data_values,relation_augmented,"For cross-panel comparison, add a purple Reference mean line to all standard numeric-y subplots and color West red wherever it appears.",1,1,1400x503,ok,0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4,0.0,0.816738110221277,0.5115127689550971,0.9653826179131391,0.0,1830.7117919921875,18.11353874206543,0.0,8332.810546875,12186.146484375,16.908843994140625,0.14857383365169813,1.0,1.0,1.0,2,2,2,0.0,"[""chart_1"", ""chart_2""]","[""chart_1"", ""chart_2""]",0.0,0.0,0.0,1,"{""chart_1"": 0.0, ""chart_2"": 0.0}",1,regular_grid,0.9920870813941983,512,184,0.016421110733695652,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""add_reference_line"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.009521484375, ""counterfactual_noop_mse"": 8151.779296875, ""prediction_mse"": 11029.3232421875}, {""operation_index"": 2, ""operation"": ""modify_color"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.007472826086956522, ""counterfactual_noop_mse"": 8972.197265625, ""prediction_mse"": 14979.486328125}, {""operation_index"": 3, ""operation"": ""preserve_data_values"", ""score"": 0.816738110221277, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
real_sample_000217,real/sample_000217,real,real,geophysical_events,dashboard_0015,2,stacked_bar;bubble,multi_step,2,delete_category_or_series;add_dashboard_title,relation_or_scope_aware,"Remove the visible category or series ""volcanic eruption"" from every chart where it is plotted. Add ""Geophysical Events Edited View"" as the main title for the whole dashboard. Keep unrelated chart content unchanged.",1,1,1776x522,ok,0,1.0,1.0,0,0.2944599119732332,0.2463712070102158,0.3338052160338837,,,,,,,,,0.14610176150899995,0.7626596770673696,0.4139834654456444,0.6020120275042182,0.0,3318.62255859375,31.45335578918457,0.36351759995112426,13139.185546875,8362.8603515625,24.50153923034668,0.1749847968434004,1.0,1.0,1.0,2,2,2,0.2739897418727143,"[""chart_1"", ""chart_2""]","[""chart_1"", ""chart_2""]",,,,0,"{""chart_1"": 0.41787766627659356, ""chart_2"": 0.130101817468835}",0,regular_grid,0.6698518472862738,512,166,0.1680511106927711,2,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""delete_category_or_series"", ""score"": 0.2794225087663156, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 0.0, ""changed_pixel_rate"": 0.0842785203313253, ""counterfactual_noop_mse"": 9908.7001953125, ""prediction_mse"": 7139.986328125}, {""operation_index"": 2, ""operation"": ""add_dashboard_title"", ""score"": 0.21331990525411604, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.11902296686746988, ""counterfactual_noop_mse"": 10877.78125, ""prediction_mse"": 8557.333984375}]",,,,,,
synthetic_sample_920070,synthetic/sample_920070,synthetic,synthetic_relation_augmented_qc,climate_resilience,dashboard_aug_0292,3,line;grouped_bar;stacked_area,complex_relation,3,modify_style;rename_label;preserve_unrelated_charts,relation_augmented,Use a consistent cleaned-up style across the dashboard and rename Central to Central (updated) in all related subplots where it appears.,1,1,1380x990,ok,0,1.0,1.0,1,0.3976117439766566,0.18375276962955342,0.5127665763174044,0.4797184803255544,0.4797184803255544,1.0,0.5719340185803827,0.3271085216095056,1.0,1.0,6,0.20980115585756173,0.7626456100474162,0.5688630379866638,0.7266542277545777,0.0,2363.588623046875,26.787050247192383,0.35478249133959183,9594.89453125,6190.7939453125,21.814817428588867,0.1929963332229621,1.0,1.0,1.0,3,3,3,0.35072853151337774,"[""chart_1"", ""chart_2"", ""chart_3""]","[""chart_1"", ""chart_2"", ""chart_3""]",0.341395172943312,0.0,0.35072853151337774,3,"{""chart_1"": 0.42173505956801083, ""chart_2"": 0.4041879897539622, ""chart_3"": 0.22626254521816025}",1,regular_grid,0.9855858212609465,512,369,0.1367822662601626,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""modify_style"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.00418678014905149, ""counterfactual_noop_mse"": 4620.173828125, ""prediction_mse"": 5399.68115234375}, {""operation_index"": 2, ""operation"": ""rename_label"", ""score"": 0.36750553925910684, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.13472857384823847, ""counterfactual_noop_mse"": 9729.4677734375, ""prediction_mse"": 6153.83447265625}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.7626456100474162, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
synthetic_sample_920381,synthetic/sample_920381,synthetic,synthetic_relation_augmented_qc,air_quality,dashboard_aug_0344,3,funnel;dot_plot;pie,multi_chart_relation,3,modify_color;preserve_data_values;preserve_unrelated_charts,relation_augmented,"Highlight North in red in the 3 related subplots that show North, but do not change any plotted values or labels in the other subplots.",1,1,1400x1008,ok,0,1.0,1.0,1,0.14340721079841037,0.0,0.22062647815140055,0.13906333045491323,0.13906333045491323,1.0,0.2317722174248554,0.05371836077003445,1.0,1.0,3,0.0,0.7000557616771884,0.601675697128652,0.9934442123312511,0.0,3339.07763671875,29.17009735107422,0.0,14020.2080078125,20546.0,27.84873390197754,0.24200471165327395,1.0,1.0,1.0,3,3,3,0.08057754115505168,"[""chart_1"", ""chart_2"", ""chart_3""]","[""chart_1"", ""chart_2"", ""chart_3""]",0.0,0.0,0.05371836077003445,3,"{""chart_1"": 0.0, ""chart_2"": 0.0, ""chart_3"": 0.16115508231010336}",1,regular_grid,1.0,512,369,0.015910823170731708,3,1,1,1.0,"[{""operation_index"": 1, ""operation"": ""modify_color"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 0.35, ""changed_pixel_rate"": 0.015910823170731708, ""counterfactual_noop_mse"": 14020.2080078125, ""prediction_mse"": 20546.0}, {""operation_index"": 2, ""operation"": ""preserve_data_values"", ""score"": 0.7000557616771884, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.7000557616771884, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
synthetic_sample_920202,synthetic/sample_920202,synthetic,synthetic_relation_augmented_qc,consumer_prices,dashboard_aug_0314,4,candlestick;grouped_bar;area;dual_axis_line_bar,multi_chart_relation,2,delete_category_or_series;preserve_unrelated_charts,relation_augmented,"Remove the shared category or series West from every subplot where it is plotted, while preserving the remaining categories and chart layouts.",1,1,1401x1008,ok,0,1.0,1.0,1,0.6651774725700685,0.6760959557738335,0.6592982893065028,0.7222368832499603,0.7222368832499603,0.6666666666666666,0.7274631169330191,0.7715445071533809,0.6859002709388733,1.0,2,0.4045006185543318,0.7715625575369934,0.4941761888913546,0.8949472292266691,0.0,2075.06201171875,21.735240936279297,0.6760959557738335,14170.0615234375,4589.740234375,19.94209098815918,0.19279841565144332,0.6666666666666666,0.5,1.0,2,4,2,0.7715445071533809,"[""chart_2"", ""chart_3""]","[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4""]",0.7143975327253719,1.0,0.7205637973335408,5,"{""chart_1"": 0.7342112362384796, ""chart_2"": 0.671765491273619, ""chart_3"": 0.8713235230331428, ""chart_4"": 0.5539742289690822}",1,regular_grid,0.9971479519041443,512,369,0.11802379742547425,2,1,1,1.0,"[{""operation_index"": 1, ""operation"": ""delete_category_or_series"", ""score"": 0.6760959557738335, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 0.0, ""changed_pixel_rate"": 0.11802379742547425, ""counterfactual_noop_mse"": 14170.0615234375, ""prediction_mse"": 4589.740234375}, {""operation_index"": 2, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.7715625575369934, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
