task_id,global_sample_id,split,data_origin,domain,dashboard_id,chart_count,chart_types,instruction_type,num_operations,operations,propagation_scope,instruction,code_exists,pred_image_exists,pred_image_status,render_status,render_returncode,code_executability,code_quality,explicit_relation_label_available,overall_score,low_level_edit_accuracy,high_level_score,relation_conditioned_fidelity,multi_chart_relation_accuracy,relation_scope_f1,relation_scope_accuracy,relation_expected_edit_fidelity,relation_nonaffected_preservation,relation_label_visual_coverage,relation_labeled_endpoint_count,visual_structural_similarity,preservation_accuracy,full_ssim,noop_full_ssim,full_ssim_improvement,full_mse,full_mae,edit_visual_score,noop_edit_mse,pred_edit_mse,preserve_mae,preserve_changed_pixel_rate,affected_chart_f1,affected_chart_precision,affected_chart_recall,reference_affected_cells,predicted_affected_cells,matched_affected_cells,affected_region_similarity,reference_affected_chart_ids_json,predicted_affected_chart_ids_json,relation_edge_consistency,relation_edge_action_accuracy,relation_edge_endpoint_accuracy,relation_edge_check_count,relation_node_fidelities_json,relation_metric_applicable,layout_id,canvas_aspect_score,metric_width,metric_height,target_changed_pixel_rate,operation_count,counterfactual_operation_count,scorable_edit_operation_count,counterfactual_coverage,operation_scores_json,charteditor_full_rarm,charteditor_edit_rarm,charteditor_full_layout,charteditor_full_text,charteditor_edit_layout,charteditor_edit_text
synthetic_sample_920915,synthetic/sample_920915,synthetic,synthetic_relation_augmented_qc,hospital_operations,dashboard_aug_0433,5,lollipop;waterfall;candlestick;stacked_bar;dot_plot,complex_relation,5,modify_style;change_axis_label;change_axis_label;change_axis_label;change_axis_label,relation_augmented,"Make the dashboard easier to compare: use dark blue subplot titles with light dashed gridlines, and rename the y-axis to ""Comparable value"" on the related numeric subplots.",1,1,1906x824,ok,0,1.0,1.0,1,0.16903252036180835,0.08846213330344083,0.21241657493169855,0.11294325661434661,0.11294325661434661,1.0,0.18823876102391102,0.049145629613022684,0.7209965856745839,1.0,9,0.0,0.7989994738646917,0.5138869390828648,0.988350970974434,0.0,1293.8912353515625,15.31367015838623,0.0,2863.367431640625,5775.8486328125,14.85193157196045,0.18768870984534802,1.0,1.0,1.0,5,5,5,0.0,"[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5""]","[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5""]",0.0,0.0,0.0,10,"{""chart_1"": 0.0, ""chart_2"": 0.0, ""chart_3"": 0.0, ""chart_4"": 0.0, ""chart_5"": 0.0}",1,regular_grid,0.6580400278568184,512,246,0.008662029979674796,5,5,5,1.0,"[{""operation_index"": 1, ""operation"": ""modify_style"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.004731961382113821, ""counterfactual_noop_mse"": 409.1448669433594, ""prediction_mse"": 6179.02587890625}, {""operation_index"": 2, ""operation"": ""change_axis_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0009448043699186992, ""counterfactual_noop_mse"": 6160.0615234375, ""prediction_mse"": 6241.7705078125}, {""operation_index"": 3, ""operation"": ""change_axis_label"", ""score"": 0.1110431580573724, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0010003810975609756, ""counterfactual_noop_mse"": 5688.57421875, ""prediction_mse"": 5056.89697265625}, {""operation_index"": 4, ""operation"": ""change_axis_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0010162601626016261, ""counterfactual_noop_mse"": 5503.796875, ""prediction_mse"": 5886.34912109375}, {""operation_index"": 5, ""operation"": ""change_axis_label"", ""score"": 0.3312675084598317, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0009686229674796748, ""counterfactual_noop_mse"": 5949.09814453125, ""prediction_mse"": 3978.355224609375}]",,,,,,
real_sample_000445,real/sample_000445,real,real,owid,dashboard_0030,2,funnel;gantt,multi_step,3,modify_color;rename_label;add_event_marker,relation_or_scope_aware,"Within the related country or region panels, recolor Guinea to red. In the related country or region panels, replace the label Guinea with Guinea (updated). Mark 1925 with a red vertical line labeled ""Event 1925"" in all time-series panels. Make the scoped edits consistently across the related charts without disturbing the rest of the dashboard.",1,1,1400x500,ok,0,1.0,1.0,0,0.0,0.0,0.0,,,,,,,,,0.0,0.5979107567881015,0.5705252596824516,0.9900793200111193,0.0,6060.783203125,38.022586822509766,0.0,17049.271484375,23557.8125,34.707794189453125,0.34199493992691005,1.0,1.0,1.0,2,2,2,0.0,"[""chart_1"", ""chart_2""]","[""chart_1"", ""chart_2""]",,,,0,"{""chart_1"": 0.0, ""chart_2"": 0.0}",0,regular_grid,0.6835769396749078,512,166,0.037356457078313254,3,3,3,1.0,"[{""operation_index"": 1, ""operation"": ""modify_color"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.03568571159638554, ""counterfactual_noop_mse"": 17571.943359375, ""prediction_mse"": 23985.96484375}, {""operation_index"": 2, ""operation"": ""rename_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0014001317771084338, ""counterfactual_noop_mse"": 13870.1708984375, ""prediction_mse"": 32777.27734375}, {""operation_index"": 3, ""operation"": ""add_event_marker"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0016707454819277108, ""counterfactual_noop_mse"": 5885.49755859375, ""prediction_mse"": 14412.8662109375}]",,,,,,
real_sample_001023,real/sample_001023,real,real,air_quality_environment,dashboard_0068,3,scatter;strip_plot;dual_axis_line_bar,multi_step,3,add_reference_line;set_y_scale;preserve_unrelated_charts,relation_or_scope_aware,"Add a purple reference line labeled ""Reference mean"" at the mean value in the third subplot. For charts with numeric y-values, display the y-axis on a logarithmic scale. Leave charts outside that scope unchanged.",1,1,2250x1500,ok,0,1.0,1.0,0,0.13438537587486704,0.1395316135396064,0.13017481778553483,,,,,,,,,0.020369966970109312,0.8318856486298104,0.6885977149355483,0.8649165988382603,0.0,769.733154296875,13.750059127807617,0.03753773500262853,2862.5947265625,2755.139404296875,11.100881576538086,0.16582709854309605,1.0,1.0,1.0,3,3,3,0.07626305923414937,"[""chart_1"", ""chart_2"", ""chart_3""]","[""chart_1"", ""chart_2"", ""chart_3""]",,,,0,"{""chart_1"": 0.0, ""chart_2"": 0.22878917770244814, ""chart_3"": 0.0}",0,regular_grid,0.9044217757892127,512,333,0.09298165352852852,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""add_reference_line"", ""score"": 0.2436188616815402, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0023636918168168167, ""counterfactual_noop_mse"": 3992.0966796875, ""prediction_mse"": 3019.546630859375}, {""operation_index"": 2, ""operation"": ""set_y_scale"", ""score"": 0.035444365397672574, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.09401393581081081, ""counterfactual_noop_mse"": 2829.1201171875, ""prediction_mse"": 2728.84375}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.8318856486298104, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
synthetic_sample_920967,synthetic/sample_920967,synthetic,synthetic_relation_augmented_qc,agriculture_food,dashboard_aug_0442,2,line;heatmap,complex_relation,3,add_dashboard_title;modify_color;preserve_data_values,relation_augmented,"Add the title ""Agriculture Food Edited Dashboard"" and use red to emphasize North consistently across every subplot where that label appears.",1,1,1144x540,ok,0,1.0,1.0,1,0.23269622442701973,0.16274891742530925,0.2703601589664023,0.13371455016745454,0.13371455016745454,0.6666666666666666,0.0,0.0,0.367950439453125,1.0,1,0.06569053817210688,0.733126884223411,0.45631287487361955,0.6018661635764468,0.0,3288.015380859375,28.929166793823242,0.32360297669940336,9201.4140625,6223.80908203125,22.781757354736328,0.22869089739466067,0.6666666666666666,0.5,1.0,1,2,1,0.3356801172263079,"[""chart_1""]","[""chart_1"", ""chart_2""]",0.3342863754186363,0.0,0.3356801172263079,1,"{""chart_1"": 0.36623760911517816, ""chart_2"": 0.30512262533743767}",1,regular_grid,0.33832887263130873,512,184,0.20796535326086957,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""add_dashboard_title"", ""score"": 0.3254978348506185, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.20774244225543478, ""counterfactual_noop_mse"": 9209.9501953125, ""prediction_mse"": 6212.13134765625}, {""operation_index"": 2, ""operation"": ""modify_color"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.003916864809782609, ""counterfactual_noop_mse"": 14195.6279296875, ""prediction_mse"": 18473.015625}, {""operation_index"": 3, ""operation"": ""preserve_data_values"", ""score"": 0.733126884223411, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
real_sample_000823,real/sample_000823,real,real,world_bank,dashboard_0055,3,violin;radar;line,multi_step,3,filter_time_range;add_event_marker;preserve_unrelated_charts,relation_or_scope_aware,"For all time-series panels, restrict the x-axis range to 1980-2011. Mark 1994 with a red vertical line labeled ""Event 1994"" in all time-series panels. Leave charts outside that scope unchanged.",1,1,1440x697,ok,0,1.0,1.0,0,0.2675545836480432,0.19982501280392181,0.3229696870659606,,,,,,,,,0.12628915922349068,0.8259570291294028,0.6329297891779625,0.9564340858212595,0.0,606.376708984375,13.80700397491455,0.38394539371999364,4639.21142578125,2858.007568359375,13.41894245147705,0.15877382589899783,0.5,0.3333333333333333,1.0,1,3,1,0.38394539371999364,"[""chart_3""]","[""chart_1"", ""chart_2"", ""chart_3""]",,,,0,"{""chart_1"": 0.7501562982797623, ""chart_2"": 0.8809259608387947, ""chart_3"": 0.38394539371999364}",0,wide_top,0.5482079886408349,512,213,0.020053917253521125,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""filter_time_range"", ""score"": 0.3835358712711423, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.020695789319248828, ""counterfactual_noop_mse"": 4496.248046875, ""prediction_mse"": 2771.775634765625}, {""operation_index"": 2, ""operation"": ""add_event_marker"", ""score"": 0.0161141543367013, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0011370305164319248, ""counterfactual_noop_mse"": 2154.156005859375, ""prediction_mse"": 2119.443603515625}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.8259570291294028, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
synthetic_sample_920308,synthetic/sample_920308,synthetic,synthetic_relation_augmented_qc,game_analytics,dashboard_aug_0332,2,waterfall;line,complex_relation,3,add_reference_line;modify_color;preserve_data_values,relation_augmented,"For cross-panel comparison, add a purple Reference mean line to all standard numeric-y subplots and color West red wherever it appears.",1,1,1400x500,ok,0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4,0.0,0.6317744397948918,0.4101912752395679,0.9653826179131391,0.0,4834.28173828125,35.196876525878906,0.0,8332.810546875,13039.2275390625,34.2709846496582,0.29654331379976473,1.0,1.0,1.0,2,2,2,0.0,"[""chart_1"", ""chart_2""]","[""chart_1"", ""chart_2""]",0.0,0.0,0.0,1,"{""chart_1"": 0.0, ""chart_2"": 0.0}",1,regular_grid,0.9686299015467632,512,184,0.016421110733695652,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""add_reference_line"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.009521484375, ""counterfactual_noop_mse"": 8151.779296875, ""prediction_mse"": 10201.9384765625}, {""operation_index"": 2, ""operation"": ""modify_color"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.007472826086956522, ""counterfactual_noop_mse"": 8972.197265625, ""prediction_mse"": 17949.634765625}, {""operation_index"": 3, ""operation"": ""preserve_data_values"", ""score"": 0.6317744397948918, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
real_sample_000217,real/sample_000217,real,real,geophysical_events,dashboard_0015,2,stacked_bar;bubble,multi_step,2,delete_category_or_series;add_dashboard_title,relation_or_scope_aware,"Remove the visible category or series ""volcanic eruption"" from every chart where it is plotted. Add ""Geophysical Events Edited View"" as the main title for the whole dashboard. Keep unrelated chart content unchanged.",1,1,1272x588,ok,0,1.0,1.0,0,0.2551785932725675,0.30805933818566306,0.21191252925276197,,,,,,,,,0.06198437064479844,0.7244877956677481,0.4167069174841603,0.6020120275042182,0.0,3877.3896484375,31.98908042907715,0.4234093047945353,13139.185546875,7575.93212890625,26.30482292175293,0.2174404955521928,1.0,1.0,1.0,2,2,2,0.3719141942227941,"[""chart_1"", ""chart_2""]","[""chart_1"", ""chart_2""]",,,,0,"{""chart_1"": 0.45467641869866454, ""chart_2"": 0.28915196974692364}",0,regular_grid,0.24398916896294606,512,166,0.1680511106927711,2,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""delete_category_or_series"", ""score"": 0.3124303147023277, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 0.0, ""changed_pixel_rate"": 0.0842785203313253, ""counterfactual_noop_mse"": 9908.7001953125, ""prediction_mse"": 6812.921875}, {""operation_index"": 2, ""operation"": ""add_dashboard_title"", ""score"": 0.30368836166899843, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.11902296686746988, ""counterfactual_noop_mse"": 10877.78125, ""prediction_mse"": 7574.32568359375}]",,,,,,
synthetic_sample_920070,synthetic/sample_920070,synthetic,synthetic_relation_augmented_qc,climate_resilience,dashboard_aug_0292,3,line;grouped_bar;stacked_area,complex_relation,3,modify_style;rename_label;preserve_unrelated_charts,relation_augmented,Use a consistent cleaned-up style across the dashboard and rename Central to Central (updated) in all related subplots where it appears.,1,1,2100x1500,ok,0,1.0,1.0,1,0.37581554578910414,0.23102333891232288,0.4537805802612171,0.46171144669343456,0.46171144669343456,1.0,0.47766801233085665,0.22816673000411145,1.0,1.0,6,0.2582903278226547,0.5719897431102942,0.49210147849321956,0.7266542277545777,0.0,4566.552734375,39.28607177734375,0.44442555305902026,9594.89453125,5330.67822265625,37.56346893310547,0.35990213752253414,1.0,1.0,1.0,3,3,3,0.43785072813491227,"[""chart_1"", ""chart_2"", ""chart_3""]","[""chart_1"", ""chart_2"", ""chart_3""]",0.4377765982373014,0.0,0.43785072813491227,3,"{""chart_1"": 0.4305485321893262, ""chart_2"": 0.45102993324869106, ""chart_3"": 0.43197371896671977}",1,regular_grid,0.9686299015467632,512,369,0.1367822662601626,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""modify_style"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.00418678014905149, ""counterfactual_noop_mse"": 4620.173828125, ""prediction_mse"": 10927.98828125}, {""operation_index"": 2, ""operation"": ""rename_label"", ""score"": 0.46204667782464576, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.13472857384823847, ""counterfactual_noop_mse"": 9729.4677734375, ""prediction_mse"": 5233.99951171875}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.5719897431102942, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
synthetic_sample_920381,synthetic/sample_920381,synthetic,synthetic_relation_augmented_qc,air_quality,dashboard_aug_0344,3,funnel;dot_plot;pie,multi_chart_relation,3,modify_color;preserve_data_values;preserve_unrelated_charts,relation_augmented,"Highlight North in red in the 3 related subplots that show North, but do not change any plotted values or labels in the other subplots.",1,1,1200x800,ok,0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,0.0,0.7273646431565484,0.6610521676682529,0.9934442123312511,0.0,3368.772705078125,27.223264694213867,0.0,14020.2080078125,28656.025390625,25.3111572265625,0.21998472477705705,1.0,1.0,1.0,3,3,3,0.0,"[""chart_1"", ""chart_2"", ""chart_3""]","[""chart_1"", ""chart_2"", ""chart_3""]",0.0,0.0,0.0,3,"{""chart_1"": 0.0, ""chart_2"": 0.0, ""chart_3"": 0.0}",1,regular_grid,0.7350298527964532,512,369,0.015910823170731708,3,1,1,1.0,"[{""operation_index"": 1, ""operation"": ""modify_color"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.015910823170731708, ""counterfactual_noop_mse"": 14020.2080078125, ""prediction_mse"": 28656.025390625}, {""operation_index"": 2, ""operation"": ""preserve_data_values"", ""score"": 0.7273646431565484, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.7273646431565484, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
synthetic_sample_920202,synthetic/sample_920202,synthetic,synthetic_relation_augmented_qc,consumer_prices,dashboard_aug_0314,4,candlestick;grouped_bar;area;dual_axis_line_bar,multi_chart_relation,2,delete_category_or_series;preserve_unrelated_charts,relation_augmented,"Remove the shared category or series West from every subplot where it is plotted, while preserving the remaining categories and chart layouts.",1,1,1041x767,ok,0,1.0,1.0,1,0.40340284074980615,0.39205506107003907,0.40951318365429606,0.2973405248619231,0.2973405248619231,0.6666666666666666,0.3637766143384841,0.22441847595215816,0.5896725952625275,1.0,2,0.2145110965454634,0.6552721162651264,0.43450606614084775,0.8949472292266691,0.0,3021.08837890625,33.35516357421875,0.39205506107003907,14170.0615234375,8614.6171875,28.24724769592285,0.30331272880033605,0.6666666666666666,0.5,1.0,2,4,2,0.22441847595215816,"[""chart_2"", ""chart_3""]","[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4""]",0.19768639064708152,0.0,0.3538440692329443,5,"{""chart_1"": 0.6389244198799133, ""chart_2"": 0.44883695190431633, ""chart_3"": 0.0, ""chart_4"": 0.45704049842833383}",1,regular_grid,0.9119088866412306,512,369,0.11802379742547425,2,1,1,1.0,"[{""operation_index"": 1, ""operation"": ""delete_category_or_series"", ""score"": 0.39205506107003907, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 0.0, ""changed_pixel_rate"": 0.11802379742547425, ""counterfactual_noop_mse"": 14170.0615234375, ""prediction_mse"": 8614.6171875}, {""operation_index"": 2, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.6552721162651264, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
